13000    13896.4792 1.9009          
12000    12102.8504 1.6548          
11000    10391.5104 1.2987          
10000    8767.5166 1.2664           
9000     7239.3110 1.0531           
8000     5816.33169 0.86521         
7000     4508.77472 0.69114 
this is actual central data





13000	 12014.9987 1.6629	    
12000	 10477.0411 1.6418	    
11000	 9008.0806 1.4590	    
10000	 7613.9773 1.2597	    
9000	 6301.39441 1.04030	    
8000	 5077.05961 0.85973	    
7000	 3950.31718 0.68958	    
this is without qg/gq







13000    9547.0054 1.8629
12000    8501.4791 1.4264
11000    7317.9873 1.4190
10000    6194.7584 1.0768
9000     5134.30603 0.99659
8000     4144.73247 0.77480
7000     3231.68452 0.61313




13000    13087.8518 2.5538
12000    11654.5548 1.9554
11000    10032.1230 1.9452
10000    8492.3047 1.4762
9000     7038.5459 1.3662
8000     5681.95384 1.06216
7000     4430.26960 0.84054
6000     2438.75059 0.54621
5000     2292.15057 0.45746
4000     1437.56288 0.25136
3000     755.18012 0.14811
2000     274.777680 0.052830
1000     31.7735877 0.0056972
500      1.35209680 0.00014739





13000	 13351.4906 1.9012	    
12000	 12103.6499 1.4460	    
11000	 10391.1681 1.4466	    
10000	 8768.0647 1.1053	    
9000	 7239.5223 1.0313	    
8000	 5816.76851 0.80982	    
7000	 4509.07599 0.64871	    
6000	 2404.05283 0.43796	    
5000	 2294.08997 0.36553	    
4000	 1420.85812 0.20611	    
3000	 733.65459 0.12596	    
2000	 260.567355 0.047560	    
1000	 29.2364613 0.0057625	    
500	 1.25552773 0.00018055	    


100000	 425525.972 70.641	    
50000	 69688.5986 9.3194	    





13000    13896.3956 1.6512          
12000    12103.6499 1.4460          
11000    10391.1681 1.4466          
10000    8768.0647 1.1053           
9000     7239.5223 1.0313           
8000     5816.76851 0.80982         
7000     4509.07599 0.64871         
6000     2404.05283 0.43796         
5000     2294.08997 0.36553         
4000     1420.85812 0.20611         
3000     733.65459 0.12596          
2000     260.567355 0.047560        
1000     29.2364613 0.0057625       
500      1.25552773 0.00018055      


